Loja;mes;ano;volume
Loja 07;Março;2017;33.75
Loja 07;Abril;2017;96.925
Loja 07;Maio;2017;93.375
Loja 07;Junho;2017;176.875
Loja 07;Julho;2017;196.8
Loja 07;Agosto;2017;208.025
Loja 07;Setembro;2017;122.775
Loja 07;Outubro;2017;68.575
Loja 07;Novembro;2017;0.1
Loja 07;Dezembro;2017;0.15
Loja 07;Janeiro;2018;6.15
Loja 07;Fevereiro;2018;44.75
Loja 07;Março;2018;4.075
Loja 07;Abril;2018;10.3
Loja 07;Maio;2018;45.05
Loja 07;Junho;2018;62.65
Loja 07;Julho;2018;37.9
Loja 07;Agosto;2018;19.8
Loja 07;Setembro;2018;27.1
Loja 07;Outubro;2018;39.475
Loja 07;Novembro;2018;14.975
Loja 07;Dezembro;2018;0
Loja 07;Janeiro;2019;0.325
Loja 07;Fevereiro;2019;7.775
Loja 07;Março;2019;10.225
Loja 07;Abril;2019;16.025
Loja 07;Maio;2019;15.3
Loja 07;Junho;2019;66.4
Loja 07;Julho;2019;91.925
Loja 07;Agosto;2019;119.375
Loja 07;Setembro;2019;9.15
Loja 07;Outubro;2019;2.25
Loja 07;Novembro;2019;25.225
Loja 07;Dezembro;2019;3.85
Loja 07;Janeiro;2020;4.675
Loja 07;Fevereiro;2020;11.7
Loja 07;Março;2020;3.7
Loja 07;Abril;2020;19.9
Loja 07;Maio;2020;
Loja 07;Junho;2020;
Loja 07;Julho;2020;
Loja 07;Agosto;2020;
Loja 07;Setembro;2020;
Loja 07;Outubro;2020;
Loja 07;Novembro;2020;
Loja 07;Dezembro;2020;
Loja 13;Janeiro;2015;0
Loja 13;Fevereiro;2015;0
Loja 13;Março;2015;0
Loja 13;Abril;2015;0
Loja 13;Maio;2015;1.175
Loja 13;Junho;2015;3.775
Loja 13;Julho;2015;6.8
Loja 13;Agosto;2015;38.125
Loja 13;Setembro;2015;5.475
Loja 13;Outubro;2015;0.875
Loja 13;Novembro;2015;0.025
Loja 13;Dezembro;2015;0.475
Loja 13;Janeiro;2016;0.675
Loja 13;Fevereiro;2016;0.05
Loja 13;Março;2016;0
Loja 13;Abril;2016;8.05
Loja 13;Maio;2016;2.3
Loja 13;Junho;2016;7.075
Loja 13;Julho;2016;1.525
Loja 13;Agosto;2016;3.775
Loja 13;Setembro;2016;2.1
Loja 13;Outubro;2016;0.2
Loja 13;Novembro;2016;8.6
Loja 13;Dezembro;2016;11.6
